,participant,phase,heartbeat_idreference,b_point_samplereference,multiple-conditions_autoregression,multiple-conditions_linear-interpolation,multiple-conditions_none,second-derivative_autoregression,second-derivative_linear-interpolation,second-derivative_none,straight-line_autoregression,straight-line_linear-interpolation,straight-line_none,third-derivative_autoregression,third-derivative_linear-interpolation,third-derivative_none
11,GDN0005,HoldingBreath,13,5703,5694.0,5691.0,5673.0,5700.0,5700.0,5700.0,5708.0,5708.0,5708.0,5710.0,5710.0,5710.0
12,GDN0005,HoldingBreath,15,6538,6547.0,6547.0,6547.0,6548.0,6548.0,6548.0,6554.0,6554.0,6554.0,6558.0,6558.0,6558.0
13,GDN0005,HoldingBreath,16,7035,7032.0,7032.0,7032.0,7032.0,7032.0,7032.0,7041.0,7041.0,7041.0,7044.0,7044.0,7044.0
14,GDN0005,HoldingBreath,17,7528,7528.0,7528.0,7528.0,7528.0,7528.0,7528.0,7537.0,7537.0,7537.0,7539.0,7539.0,7539.0
15,GDN0005,HoldingBreath,18,8004,8018.0,8018.0,8018.0,8026.0,8026.0,8026.0,8025.0,8026.0,8013.0,8034.0,8034.0,8034.0
16,GDN0005,HoldingBreath,19,8472,8464.0,8458.0,8436.0,8472.0,8472.0,8472.0,8478.0,8478.0,8478.0,8480.0,8480.0,8480.0
17,GDN0005,HoldingBreath,20,8894,8875.0,8875.0,8875.0,8893.0,8893.0,8893.0,8901.0,8901.0,8901.0,8903.0,8903.0,8903.0
18,GDN0005,HoldingBreath,21,9305,9303.0,9303.0,9303.0,9322.0,9319.0,9303.0,9320.0,9326.0,9320.0,9326.0,9328.0,9283.0
19,GDN0005,HoldingBreath,22,9739,9729.0,9729.0,9729.0,9738.0,9738.0,9738.0,9744.0,9744.0,9744.0,9747.0,9747.0,9747.0
20,GDN0005,HoldingBreath,23,10143,10140.0,10140.0,10140.0,10166.0,10166.0,10166.0,10148.0,10153.0,10148.0,10149.0,10159.0,10149.0
21,GDN0005,HoldingBreath,24,10577,10564.0,10564.0,10564.0,10576.0,10576.0,10576.0,10572.0,10574.0,10559.0,10584.0,10584.0,10584.0
22,GDN0005,HoldingBreath,25,11009,10987.0,10986.0,,11005.0,11005.0,11005.0,11012.0,11012.0,11012.0,11012.0,11012.0,11012.0
23,GDN0005,HoldingBreath,26,11439,11425.0,11425.0,11425.0,11463.0,11463.0,11463.0,11448.0,11458.0,11448.0,11471.0,11471.0,11471.0
24,GDN0005,HoldingBreath,27,11901,11886.0,11884.0,11863.0,11900.0,11900.0,11900.0,11910.0,11910.0,11910.0,11910.0,11910.0,11910.0
25,GDN0005,HoldingBreath,28,12336,12335.0,12335.0,12335.0,12329.0,12329.0,12329.0,12343.0,12350.0,12343.0,12353.0,12351.0,12336.0
26,GDN0005,HoldingBreath,29,12762,12761.0,12761.0,12761.0,12759.0,12759.0,12759.0,12767.0,12767.0,12767.0,12768.0,12768.0,12768.0
27,GDN0005,HoldingBreath,30,13164,13163.0,13163.0,13163.0,13161.0,13161.0,13161.0,13174.0,13174.0,13174.0,13181.0,13181.0,13181.0
28,GDN0005,HoldingBreath,31,13589,13587.0,13587.0,13587.0,13588.0,13588.0,13588.0,13596.0,13596.0,13596.0,13601.0,13601.0,13601.0
29,GDN0005,HoldingBreath,32,13988,14005.0,14008.0,13982.0,14004.0,14004.0,14004.0,14013.0,14013.0,14013.0,14024.0,14024.0,14024.0
30,GDN0005,HoldingBreath,33,14427,14441.0,14441.0,14441.0,14446.0,14446.0,14446.0,14435.0,14435.0,14435.0,14432.0,14442.0,14432.0
31,GDN0005,HoldingBreath,34,14854,14852.0,14852.0,14852.0,14847.0,14847.0,14847.0,14864.0,14864.0,14864.0,14863.0,14867.0,14830.0
32,GDN0005,HoldingBreath,35,15257,15257.0,15257.0,15257.0,15252.0,15252.0,15252.0,15267.0,15267.0,15267.0,15268.0,15268.0,15268.0
33,GDN0005,HoldingBreath,36,15650,15631.0,15631.0,15631.0,15655.0,15655.0,15655.0,15663.0,15663.0,15663.0,15665.0,15665.0,15665.0
34,GDN0005,HoldingBreath,37,16038,16010.0,16010.0,16010.0,16037.0,16037.0,16037.0,16047.0,16047.0,16047.0,16049.0,16049.0,16049.0
35,GDN0005,HoldingBreath,38,16426,16403.0,16403.0,16403.0,16423.0,16423.0,16423.0,16436.0,16436.0,16436.0,16440.0,16440.0,16440.0
36,GDN0005,HoldingBreath,39,16827,16803.0,16803.0,16803.0,16826.0,16826.0,16826.0,16838.0,16838.0,16838.0,16839.0,16839.0,16839.0
37,GDN0005,HoldingBreath,40,17252,17252.0,17252.0,17252.0,17244.0,17244.0,17244.0,17267.0,17267.0,17267.0,17274.0,17274.0,17274.0
38,GDN0005,HoldingBreath,41,17713,17709.0,17709.0,17709.0,17710.0,17710.0,17710.0,17720.0,17720.0,17720.0,17723.0,17723.0,17723.0
39,GDN0005,HoldingBreath,42,18174,18173.0,18173.0,18173.0,18167.0,18167.0,18167.0,18178.0,18178.0,18178.0,18180.0,18180.0,18180.0
40,GDN0005,HoldingBreath,43,18628,18628.0,18628.0,18628.0,18623.0,18623.0,18623.0,18637.0,18637.0,18637.0,18648.0,18648.0,18648.0
41,GDN0005,HoldingBreath,44,19096,19095.0,19095.0,19095.0,19090.0,19090.0,19090.0,19105.0,19105.0,19105.0,19113.0,19113.0,19113.0
42,GDN0005,HoldingBreath,45,19571,19571.0,19571.0,19571.0,19564.0,19564.0,19564.0,19579.0,19579.0,19579.0,19587.0,19587.0,19587.0
43,GDN0005,HoldingBreath,46,20057,20056.0,20056.0,20056.0,20054.0,20054.0,20054.0,20061.0,20061.0,20061.0,20064.0,20064.0,20064.0
44,GDN0005,HoldingBreath,47,20536,20535.0,20535.0,20535.0,20530.0,20530.0,20530.0,20540.0,20540.0,20540.0,20544.0,20544.0,20544.0
45,GDN0005,HoldingBreath,48,21013,21011.0,21011.0,21011.0,21010.0,21010.0,21010.0,21018.0,21018.0,21018.0,21020.0,21020.0,21020.0
46,GDN0005,HoldingBreath,49,21477,21477.0,21477.0,21477.0,21471.0,21471.0,21471.0,21490.0,21490.0,21490.0,21497.0,21497.0,21497.0
47,GDN0005,HoldingBreath,50,21948,21945.0,21945.0,21945.0,21944.0,21944.0,21944.0,21955.0,21955.0,21955.0,21962.0,21962.0,21962.0
48,GDN0005,HoldingBreath,51,22408,22407.0,22407.0,22407.0,22403.0,22403.0,22403.0,22413.0,22413.0,22413.0,22416.0,22416.0,22416.0
49,GDN0005,HoldingBreath,52,22859,22855.0,22855.0,22855.0,22855.0,22855.0,22855.0,22864.0,22864.0,22864.0,22868.0,22868.0,22868.0
50,GDN0005,HoldingBreath,53,23319,23313.0,23313.0,23313.0,23313.0,23313.0,23313.0,23322.0,23322.0,23322.0,23326.0,23326.0,23326.0
51,GDN0005,HoldingBreath,54,23762,23762.0,23762.0,23762.0,23755.0,23755.0,23755.0,23783.0,23783.0,23783.0,23790.0,23790.0,23790.0
52,GDN0005,HoldingBreath,55,24232,24216.0,24216.0,24216.0,24212.0,24212.0,24212.0,24237.0,24237.0,24237.0,24243.0,24243.0,24243.0
53,GDN0005,HoldingBreath,56,24687,24686.0,24686.0,24686.0,24683.0,24683.0,24683.0,24692.0,24692.0,24692.0,24696.0,24696.0,24696.0
54,GDN0005,HoldingBreath,57,25144,25143.0,25143.0,25143.0,25141.0,25141.0,25141.0,25150.0,25150.0,25150.0,25152.0,25152.0,25152.0
55,GDN0005,HoldingBreath,58,25586,25585.0,25585.0,25585.0,25598.0,25598.0,25598.0,25603.0,25603.0,25603.0,25609.0,25609.0,25609.0
56,GDN0005,HoldingBreath,59,26042,26041.0,26041.0,26041.0,26048.0,26045.0,26030.0,26052.0,26056.0,26052.0,26070.0,26070.0,26070.0
57,GDN0005,HoldingBreath,60,26515,26503.0,26503.0,26503.0,26503.0,26503.0,26503.0,26522.0,26522.0,26522.0,26532.0,26532.0,26532.0
58,GDN0005,HoldingBreath,61,26981,26970.0,26970.0,26970.0,27005.0,27005.0,27005.0,26987.0,26991.0,26987.0,26988.0,26997.0,26988.0
59,GDN0005,HoldingBreath,62,27445,27424.0,27430.0,27409.0,27442.0,27442.0,27442.0,27449.0,27449.0,27449.0,27451.0,27451.0,27451.0
60,GDN0005,HoldingBreath,63,27859,27873.0,27873.0,27873.0,27882.0,27882.0,27882.0,27882.0,27884.0,27866.0,27883.0,27886.0,27862.0
61,GDN0005,HoldingBreath,64,28281,28280.0,28280.0,28280.0,28276.0,28276.0,28276.0,28291.0,28291.0,28291.0,28294.0,28294.0,28294.0
62,GDN0005,HoldingBreath,65,28686,28685.0,28685.0,28685.0,28691.0,28685.0,28673.0,28692.0,28692.0,28692.0,28695.0,28695.0,28695.0
63,GDN0005,HoldingBreath,66,29090,29089.0,29089.0,29089.0,29110.0,29105.0,29089.0,29105.0,29105.0,29105.0,29097.0,29098.0,29073.0
64,GDN0005,HoldingBreath,67,29497,29497.0,29497.0,29497.0,29530.0,29530.0,29530.0,29502.0,29502.0,29502.0,29504.0,29504.0,29504.0
65,GDN0005,Pause,0,568,556.0,552.0,,566.0,566.0,566.0,573.0,573.0,573.0,573.0,573.0,573.0
66,GDN0005,Pause,1,1025,1019.0,1015.0,,1023.0,1023.0,1023.0,1031.0,1031.0,1031.0,1031.0,1031.0,1031.0
67,GDN0005,Pause,2,1456,1453.0,1453.0,1453.0,1481.0,1481.0,1481.0,1461.0,1461.0,1461.0,1462.0,1462.0,1462.0
68,GDN0005,Pause,3,1888,1887.0,1887.0,1887.0,1896.0,1899.0,1880.0,1894.0,1894.0,1894.0,1899.0,1899.0,1899.0
69,GDN0005,Pause,4,2293,2314.0,2314.0,2314.0,2319.0,2333.0,2319.0,2326.0,2326.0,2326.0,2330.0,2330.0,2330.0
70,GDN0005,Pause,5,2780,2778.0,2778.0,2778.0,2808.0,2808.0,2808.0,2789.0,2789.0,2789.0,2790.0,2790.0,2790.0
71,GDN0005,Pause,6,3254,3253.0,3253.0,3253.0,3251.0,3274.0,3251.0,3260.0,3260.0,3260.0,3261.0,3261.0,3261.0
72,GDN0005,Pause,7,3674,3665.0,3666.0,,3701.0,3701.0,3701.0,3683.0,3683.0,3683.0,3681.0,3681.0,3681.0
73,GDN0005,Pause,8,4093,4066.0,4066.0,4066.0,4091.0,4091.0,4091.0,4104.0,4104.0,4104.0,4111.0,4111.0,4111.0
74,GDN0005,Pause,9,4512,4482.0,4490.0,4482.0,4510.0,4510.0,4510.0,4521.0,4521.0,4521.0,4525.0,4525.0,4525.0
75,GDN0005,Pause,10,4915,4919.0,4923.0,4886.0,4938.0,4938.0,4938.0,4945.0,4946.0,4929.0,4946.0,4946.0,4946.0
76,GDN0005,Pause,11,5337,5350.0,5350.0,5350.0,5351.0,5351.0,5351.0,5356.0,5356.0,5356.0,5360.0,5360.0,5360.0
77,GDN0005,Pause,13,6223,6222.0,6222.0,6222.0,6217.0,6217.0,6217.0,6227.0,6227.0,6227.0,6226.0,6226.0,6226.0
78,GDN0005,Pause,14,6682,6693.0,6693.0,6693.0,6693.0,6693.0,6693.0,6706.0,6706.0,6706.0,6715.0,6715.0,6715.0
79,GDN0005,Pause,15,7145,7157.0,7142.0,7142.0,7160.0,7171.0,7143.0,7182.0,7182.0,7182.0,7189.0,7189.0,7189.0
80,GDN0005,Pause,16,7609,7606.0,7606.0,7606.0,7622.0,7633.0,7606.0,7635.0,7633.0,7626.0,7632.0,7641.0,7614.0
81,GDN0005,Pause,17,8040,8040.0,8040.0,8040.0,8078.0,8078.0,8078.0,8058.0,8058.0,8048.0,8057.0,8061.0,8042.0
82,GDN0005,Pause,18,8447,8446.0,8446.0,8446.0,8449.0,8463.0,8439.0,8458.0,8458.0,8454.0,8458.0,8458.0,8458.0
83,GDN0005,Pause,19,8828,8837.0,8832.0,8814.0,8839.0,8851.0,8827.0,8848.0,8848.0,8848.0,8850.0,8850.0,8850.0
84,GDN0005,Pause,20,9201,9220.0,9220.0,9220.0,9238.0,9238.0,9238.0,9246.0,9246.0,9246.0,9235.0,9240.0,9204.0
85,GDN0005,Pause,21,9643,9642.0,9642.0,9642.0,9635.0,9635.0,9635.0,9647.0,9647.0,9647.0,9644.0,9644.0,9644.0
86,GDN0005,Pause,22,10057,10091.0,10091.0,10091.0,10053.0,10053.0,10053.0,10061.0,10061.0,10061.0,10062.0,10062.0,10062.0
87,GDN0005,Pause,23,10459,10457.0,10457.0,10457.0,10454.0,10454.0,10454.0,10463.0,10463.0,10463.0,10461.0,10461.0,10461.0
88,GDN0005,Pause,24,10880,10893.0,10887.0,10859.0,10876.0,10876.0,10876.0,10897.0,10897.0,10897.0,10899.0,10899.0,10899.0
89,GDN0005,Pause,25,11339,11337.0,11337.0,11337.0,11335.0,11335.0,11335.0,11345.0,11349.0,11345.0,11347.0,11347.0,11347.0
90,GDN0005,Pause,26,11797,11791.0,11791.0,11791.0,11778.0,11789.0,11778.0,11803.0,11803.0,11803.0,11803.0,11803.0,11803.0
91,GDN0005,Pause,27,12249,12246.0,12246.0,12246.0,12240.0,12240.0,12240.0,12259.0,12259.0,12259.0,12265.0,12265.0,12265.0
92,GDN0005,Pause,28,12737,12737.0,12737.0,12737.0,12732.0,12732.0,12732.0,12742.0,12742.0,12742.0,12742.0,12742.0,12742.0
93,GDN0005,Pause,29,13241,13241.0,13241.0,13241.0,13241.0,13241.0,13241.0,13249.0,13249.0,13249.0,13252.0,13252.0,13252.0
94,GDN0005,Pause,30,13728,13726.0,13726.0,13726.0,13742.0,13742.0,13742.0,13749.0,13749.0,13749.0,13752.0,13752.0,13752.0
95,GDN0005,Pause,31,14235,14223.0,14223.0,14223.0,14236.0,14236.0,14236.0,14246.0,14246.0,14246.0,14239.0,14243.0,14204.0
96,GDN0005,Pause,32,14725,14710.0,14710.0,,14722.0,14722.0,14722.0,14730.0,14730.0,14730.0,14731.0,14731.0,14731.0
97,GDN0005,Pause,33,15187,15184.0,15184.0,15184.0,15201.0,15201.0,15201.0,15207.0,15207.0,15207.0,15209.0,15209.0,15209.0
98,GDN0005,Pause,34,15666,15678.0,15678.0,15678.0,15678.0,15678.0,15678.0,15684.0,15684.0,15684.0,15687.0,15687.0,15687.0
99,GDN0005,Pause,35,16121,16137.0,16137.0,16137.0,16137.0,16137.0,16137.0,16141.0,16143.0,16127.0,16141.0,16145.0,16122.0
100,GDN0005,Pause,36,16577,16587.0,16587.0,16587.0,16588.0,16588.0,16588.0,16596.0,16596.0,16596.0,16598.0,16598.0,16598.0
101,GDN0005,Pause,37,17051,17045.0,17045.0,17045.0,17046.0,17046.0,17046.0,17056.0,17056.0,17056.0,17060.0,17060.0,17060.0
102,GDN0005,Pause,38,17534,17530.0,17530.0,17530.0,17531.0,17531.0,17531.0,17537.0,17537.0,17537.0,17541.0,17541.0,17541.0
103,GDN0005,Pause,39,18011,18009.0,18009.0,18009.0,18025.0,18028.0,18010.0,18032.0,18032.0,18032.0,18042.0,18042.0,18042.0
104,GDN0005,Pause,40,18522,18504.0,18504.0,18504.0,18520.0,18520.0,18520.0,18528.0,18528.0,18528.0,18528.0,18528.0,18528.0
105,GDN0005,Pause,41,19007,19004.0,19004.0,19004.0,19005.0,19005.0,19005.0,19023.0,19023.0,19023.0,19028.0,19028.0,19028.0
106,GDN0005,Pause,42,19511,19491.0,19491.0,19491.0,19510.0,19510.0,19510.0,19517.0,19517.0,19517.0,19520.0,19520.0,19520.0
107,GDN0005,Pause,44,20471,20471.0,20471.0,20471.0,20466.0,20466.0,20466.0,20480.0,20480.0,20480.0,20473.0,20487.0,20473.0
108,GDN0005,Pause,45,20929,20928.0,20928.0,20928.0,20967.0,20967.0,20967.0,20945.0,20947.0,20934.0,20945.0,20947.0,20934.0
109,GDN0005,Pause,46,21379,21378.0,21378.0,21378.0,21371.0,21371.0,21371.0,21388.0,21388.0,21388.0,21395.0,21395.0,21395.0
110,GDN0005,Pause,47,21830,21829.0,21829.0,21829.0,21826.0,21826.0,21826.0,21835.0,21835.0,21835.0,21836.0,21836.0,21836.0
111,GDN0005,Pause,48,22323,22320.0,22320.0,22320.0,22321.0,22321.0,22321.0,22328.0,22328.0,22328.0,22331.0,22331.0,22331.0
112,GDN0005,Pause,49,22816,22815.0,22815.0,22815.0,22822.0,22827.0,22810.0,22834.0,22835.0,22826.0,22846.0,22846.0,22846.0
113,GDN0005,Pause,50,23308,23321.0,23325.0,23307.0,23336.0,23336.0,23336.0,23343.0,23343.0,23343.0,23347.0,23347.0,23347.0
114,GDN0005,Pause,51,23828,23820.0,23820.0,23820.0,23832.0,23832.0,23832.0,23841.0,23841.0,23841.0,23842.0,23842.0,23842.0
115,GDN0005,Pause,52,24311,24310.0,24310.0,24310.0,24339.0,24339.0,24339.0,24325.0,24325.0,24325.0,24349.0,24349.0,24349.0
116,GDN0005,Pause,53,24793,24772.0,24772.0,24772.0,24791.0,24791.0,24791.0,24799.0,24799.0,24799.0,24799.0,24799.0,24799.0
117,GDN0005,Pause,54,25225,25224.0,25224.0,25224.0,25251.0,25251.0,25251.0,25231.0,25231.0,25231.0,25233.0,25233.0,25233.0
118,GDN0005,Pause,55,25653,25637.0,25649.0,25606.0,25650.0,25650.0,25650.0,25659.0,25659.0,25659.0,25660.0,25660.0,25660.0
119,GDN0005,Pause,56,26077,26076.0,26076.0,26076.0,26076.0,26076.0,26076.0,26084.0,26084.0,26084.0,26086.0,26086.0,26086.0
120,GDN0005,Pause,57,26550,26550.0,26550.0,26550.0,26557.0,26556.0,26543.0,26561.0,26561.0,26561.0,26550.0,26550.0,26550.0
121,GDN0005,Pause,58,27053,27041.0,27041.0,27041.0,27053.0,27053.0,27053.0,27060.0,27060.0,27060.0,27044.0,27044.0,27034.0
122,GDN0005,Pause,59,27488,27499.0,27487.0,27487.0,27504.0,27504.0,27504.0,27514.0,27514.0,27514.0,27491.0,27493.0,27469.0
123,GDN0005,Pause,60,27946,27985.0,27985.0,27985.0,27942.0,27942.0,27942.0,27951.0,27951.0,27951.0,27951.0,27951.0,27951.0
124,GDN0005,Pause,61,28395,28394.0,28394.0,28394.0,28394.0,28394.0,28394.0,28411.0,28411.0,28411.0,28401.0,28413.0,28374.0
125,GDN0005,Pause,62,28905,28893.0,28887.0,28868.0,28903.0,28903.0,28903.0,28909.0,28909.0,28909.0,28912.0,28912.0,28912.0
126,GDN0005,Pause,63,29389,29386.0,29386.0,29386.0,29385.0,29385.0,29385.0,29404.0,29404.0,29404.0,29410.0,29410.0,29410.0
127,GDN0005,TiltDown,0,625,629.0,629.0,629.0,624.0,624.0,624.0,629.0,629.0,629.0,632.0,632.0,632.0
128,GDN0005,TiltDown,1,1144,1155.0,1155.0,1155.0,1162.0,1162.0,1162.0,1167.0,1169.0,1152.0,1173.0,1174.0,1146.0
129,GDN0005,TiltDown,2,1697,1681.0,1681.0,1681.0,1695.0,1695.0,1695.0,1709.0,1709.0,1709.0,1715.0,1715.0,1715.0
130,GDN0005,TiltDown,3,2239,2213.0,2205.0,,2234.0,2234.0,2234.0,2244.0,2244.0,2244.0,2246.0,2246.0,2246.0
131,GDN0005,TiltDown,5,3229,3246.0,3246.0,3246.0,3246.0,3246.0,3246.0,3258.0,3256.0,3251.0,3265.0,3261.0,3230.0
132,GDN0005,TiltDown,6,3710,3689.0,3689.0,3689.0,3735.0,3735.0,3735.0,3717.0,3717.0,3717.0,3718.0,3718.0,3718.0
133,GDN0005,TiltDown,7,4197,4196.0,4196.0,4196.0,4194.0,4194.0,4194.0,4201.0,4201.0,4201.0,4201.0,4201.0,4201.0
134,GDN0005,TiltDown,8,4713,4687.0,4687.0,4687.0,4711.0,4711.0,4711.0,4716.0,4716.0,4716.0,4720.0,4720.0,4720.0
135,GDN0005,TiltDown,9,5231,5213.0,5213.0,5213.0,5251.0,5251.0,5251.0,5237.0,5237.0,5237.0,5237.0,5237.0,5237.0
136,GDN0005,TiltDown,10,5724,5713.0,5713.0,5713.0,5742.0,5742.0,5742.0,5747.0,5747.0,5747.0,5752.0,5752.0,5752.0
137,GDN0005,TiltDown,11,6202,6213.0,6213.0,6213.0,6221.0,6221.0,6221.0,6224.0,6222.0,6209.0,6223.0,6232.0,6205.0
138,GDN0005,TiltDown,12,6689,6688.0,6688.0,6688.0,6712.0,6712.0,6712.0,6706.0,6709.0,6700.0,6711.0,6715.0,6696.0
139,GDN0005,TiltDown,13,7217,7203.0,7203.0,7203.0,7217.0,7217.0,7217.0,7225.0,7225.0,7225.0,7226.0,7226.0,7226.0
140,GDN0005,TiltDown,14,7754,7723.0,7723.0,7723.0,7787.0,7787.0,7787.0,7760.0,7760.0,7760.0,7763.0,7763.0,7763.0
141,GDN0005,TiltDown,15,8223,8222.0,8222.0,8222.0,8261.0,8261.0,8261.0,8247.0,8247.0,8247.0,8268.0,8268.0,8268.0
142,GDN0005,TiltDown,16,8703,8703.0,8703.0,8703.0,8708.0,8719.0,8698.0,8711.0,8711.0,8711.0,8728.0,8726.0,8705.0
143,GDN0005,TiltDown,17,9171,9145.0,9145.0,9145.0,9169.0,9169.0,9169.0,9176.0,9176.0,9176.0,9176.0,9176.0,9176.0
144,GDN0005,TiltDown,18,9680,9680.0,9680.0,9680.0,9680.0,9680.0,9680.0,9687.0,9687.0,9687.0,9689.0,9689.0,9689.0
145,GDN0005,TiltDown,19,10209,10198.0,10198.0,10198.0,10209.0,10209.0,10209.0,10232.0,10232.0,10232.0,10236.0,10236.0,10236.0
146,GDN0005,TiltDown,20,10766,10724.0,10724.0,10724.0,10761.0,10761.0,10761.0,10772.0,10772.0,10772.0,10777.0,10777.0,10777.0
147,GDN0005,TiltDown,21,11252,11271.0,11271.0,11271.0,11295.0,11295.0,11295.0,11277.0,11277.0,11277.0,11280.0,11280.0,11280.0
148,GDN0005,TiltDown,22,11749,11729.0,11729.0,11729.0,11749.0,11749.0,11749.0,11759.0,11759.0,11759.0,11755.0,11755.0,11755.0
149,GDN0005,TiltDown,23,12254,12235.0,12235.0,12235.0,12255.0,12255.0,12255.0,12269.0,12269.0,12269.0,12278.0,12278.0,12278.0
150,GDN0005,TiltDown,24,12783,12796.0,12796.0,12796.0,12800.0,12800.0,12800.0,12803.0,12803.0,12803.0,12804.0,12803.0,12764.0
151,GDN0005,TiltDown,25,13316,13292.0,13292.0,13292.0,13315.0,13315.0,13315.0,13326.0,13326.0,13326.0,13328.0,13328.0,13328.0
152,GDN0005,TiltDown,26,13827,13813.0,13813.0,13813.0,13849.0,13849.0,13849.0,13835.0,13835.0,13835.0,13856.0,13856.0,13856.0
153,GDN0005,TiltDown,27,14313,14312.0,14312.0,14312.0,14359.0,14359.0,14359.0,14340.0,14339.0,14325.0,14354.0,14358.0,14318.0
154,GDN0005,TiltDown,28,14775,14750.0,14750.0,14750.0,14789.0,14806.0,14765.0,14784.0,14784.0,14784.0,14801.0,14801.0,14801.0
155,GDN0005,TiltDown,29,15212,15186.0,15186.0,15186.0,15241.0,15241.0,15241.0,15216.0,15216.0,15216.0,15218.0,15218.0,15218.0
156,GDN0005,TiltDown,30,15646,15606.0,15606.0,15606.0,15645.0,15645.0,15645.0,15651.0,15651.0,15651.0,15654.0,15654.0,15654.0
157,GDN0005,TiltDown,31,16113,16061.0,16061.0,16061.0,16112.0,16112.0,16112.0,16120.0,16120.0,16120.0,16119.0,16119.0,16119.0
158,GDN0005,TiltDown,32,16593,16564.0,16565.0,,16589.0,16589.0,16589.0,16609.0,16609.0,16609.0,16610.0,16610.0,16567.0
159,GDN0005,TiltDown,33,17128,17103.0,17103.0,17103.0,17127.0,17127.0,17127.0,17134.0,17134.0,17134.0,17135.0,17135.0,17135.0
160,GDN0005,TiltDown,34,17627,17641.0,17641.0,17641.0,17642.0,17642.0,17642.0,17649.0,17649.0,17649.0,17652.0,17652.0,17652.0
161,GDN0005,TiltDown,35,18120,18131.0,18131.0,18131.0,18137.0,18137.0,18137.0,18136.0,18136.0,18129.0,18141.0,18141.0,18122.0
162,GDN0005,TiltDown,36,18599,18589.0,18589.0,18589.0,18598.0,18598.0,18598.0,18614.0,18614.0,18614.0,18623.0,18623.0,18623.0
163,GDN0005,TiltDown,37,19084,19085.0,19088.0,19065.0,19105.0,19105.0,19105.0,19111.0,19111.0,19111.0,19122.0,19121.0,19090.0
164,GDN0005,TiltDown,38,19625,19610.0,19610.0,19610.0,19624.0,19624.0,19624.0,19633.0,19633.0,19633.0,19643.0,19643.0,19643.0
165,GDN0005,TiltDown,39,20146,20186.0,20186.0,20186.0,20145.0,20145.0,20145.0,20154.0,20154.0,20154.0,20154.0,20154.0,20154.0
166,GDN0005,TiltDown,40,20656,20672.0,20662.0,,20652.0,20652.0,20652.0,20663.0,20663.0,20663.0,20659.0,20659.0,20659.0
167,GDN0005,TiltDown,41,21144,21123.0,21153.0,21123.0,21162.0,21162.0,21162.0,21152.0,21152.0,21152.0,21169.0,21169.0,21169.0
168,GDN0005,TiltDown,42,21580,21591.0,21625.0,21591.0,21632.0,21632.0,21632.0,21617.0,21617.0,21617.0,21628.0,21627.0,21581.0
169,GDN0005,TiltDown,43,22048,22092.0,22092.0,22092.0,22042.0,22042.0,22042.0,22055.0,22055.0,22055.0,22059.0,22060.0,22051.0
170,GDN0005,TiltDown,44,22457,22469.0,22519.0,22469.0,22491.0,22491.0,22491.0,22498.0,22498.0,22498.0,22501.0,22501.0,22501.0
171,GDN0005,TiltDown,45,22968,22963.0,22970.0,,22967.0,22967.0,22967.0,22977.0,22977.0,22977.0,22977.0,22977.0,22977.0
172,GDN0005,TiltDown,46,23456,23499.0,23499.0,23499.0,23452.0,23452.0,23452.0,23462.0,23462.0,23462.0,23460.0,23460.0,23460.0
173,GDN0005,TiltDown,47,23934,23920.0,23920.0,23920.0,23934.0,23934.0,23934.0,23943.0,23943.0,23943.0,23944.0,23944.0,23944.0
