heartbeat_id,channel,label,sample_absolute,sample_relative
67,heartbeat,start,104242,24726
67,ICG,B-point,104419,24903
67,heartbeat,end,104554,25038
68,heartbeat,start,104554,25038
68,ICG,B-point,104736,25220
68,heartbeat,end,104880,25364
69,heartbeat,start,104880,25364
69,ICG,B-point,105066,25550
69,heartbeat,end,105218,25702
70,heartbeat,start,105218,25702
70,ICG,B-point,105407,25891
70,heartbeat,end,105564,26048
71,heartbeat,start,105564,26048
71,ICG,B-point,105757,26241
71,heartbeat,end,105915,26399
72,heartbeat,start,105915,26399
72,ICG,B-point,106106,26590
72,heartbeat,end,106267,26751
73,heartbeat,start,106267,26751
73,ICG,B-point,106459,26943
73,heartbeat,end,106619,27103
74,heartbeat,start,106619,27103
74,ICG,B-point,106811,27295
74,heartbeat,end,106966,27450
75,heartbeat,start,106966,27450
75,ICG,B-point,107152,27636
75,heartbeat,end,107312,27796
76,heartbeat,start,107312,27796
76,ICG,B-point,107498,27982
76,heartbeat,end,107661,28145
77,heartbeat,start,107661,28145
77,ICG,B-point,107850,28334
77,heartbeat,end,108012,28496
78,heartbeat,start,108012,28496
78,Artefact,,108204,28688
78,heartbeat,end,108357,28841
79,heartbeat,start,108357,28841
79,ICG,B-point,108538,29022
79,heartbeat,end,108700,29184
80,heartbeat,start,108700,29184
80,ICG,B-point,108891,29375
80,heartbeat,end,109049,29533
81,heartbeat,start,109049,29533
81,ICG,B-point,109241,29725
81,heartbeat,end,109401,29885
