participant,condition,phase,heartbeat_id_reference,rater_difference,Agreement
GDN0005,Dummy,TiltUp,23,0.0,High Agreement
GDN0005,Dummy,TiltUp,25,0.0,High Agreement
GDN0005,Dummy,TiltUp,26,0.0,High Agreement
GDN0005,Dummy,TiltUp,27,36.0,Low Agreement
GDN0005,Dummy,TiltUp,28,4.0,High Agreement
GDN0005,Dummy,TiltUp,29,0.0,High Agreement
GDN0005,Dummy,TiltUp,30,48.0,Low Agreement
GDN0005,Dummy,TiltUp,31,2.0,High Agreement
GDN0005,Dummy,TiltUp,32,4.0,High Agreement
GDN0005,Dummy,TiltUp,34,0.0,High Agreement
GDN0005,Dummy,TiltUp,35,2.0,High Agreement
GDN0005,Dummy,TiltUp,36,50.0,Low Agreement
GDN0005,Dummy,TiltUp,37,0.0,High Agreement
GDN0005,Dummy,TiltUp,38,0.0,High Agreement
GDN0005,Dummy,TiltUp,39,0.0,High Agreement
GDN0005,Dummy,TiltUp,40,2.0,High Agreement
GDN0005,Dummy,TiltUp,41,0.0,High Agreement
GDN0005,Dummy,TiltUp,42,0.0,High Agreement
GDN0005,Dummy,TiltUp,43,2.0,High Agreement
GDN0005,Dummy,TiltUp,44,0.0,High Agreement
GDN0005,Dummy,TiltUp,45,4.0,High Agreement
GDN0005,Dummy,TiltUp,46,2.0,High Agreement
GDN0005,Dummy,TiltUp,47,4.0,High Agreement
GDN0005,Dummy,TiltUp,48,2.0,High Agreement
GDN0005,Dummy,TiltUp,49,0.0,High Agreement
GDN0005,Dummy,TiltUp,51,2.0,High Agreement
GDN0005,Dummy,TiltUp,52,0.0,High Agreement
GDN0005,Dummy,TiltUp,53,0.0,High Agreement
GDN0005,Dummy,TiltUp,54,2.0,High Agreement
GDN0005,Dummy,TiltUp,56,0.0,High Agreement
GDN0005,Dummy,TiltUp,57,2.0,High Agreement
GDN0005,Dummy,TiltUp,58,2.0,High Agreement
GDN0005,Dummy,TiltUp,59,0.0,High Agreement
GDN0005,Dummy,TiltUp,60,8.0,Medium Agreement
GDN0005,Dummy,TiltUp,61,0.0,High Agreement
GDN0005,Dummy,TiltUp,62,4.0,High Agreement
GDN0005,Dummy,TiltUp,63,2.0,High Agreement
GDN0005,Dummy,TiltUp,64,0.0,High Agreement
GDN0005,Dummy,TiltUp,65,4.0,High Agreement
GDN0005,Dummy,TiltUp,66,0.0,High Agreement
GDN0005,Dummy,TiltUp,67,0.0,High Agreement
GDN0005,Dummy,TiltUp,68,2.0,High Agreement
GDN0005,Dummy,TiltUp,69,0.0,High Agreement
GDN0005,Dummy,TiltUp,70,2.0,High Agreement
GDN0005,Dummy,TiltUp,71,0.0,High Agreement
GDN0005,Dummy,TiltUp,72,2.0,High Agreement
GDN0005,Dummy,TiltUp,73,0.0,High Agreement
GDN0005,Dummy,TiltUp,74,2.0,High Agreement
GDN0005,Dummy,TiltUp,75,2.0,High Agreement
GDN0005,Dummy,TiltUp,76,32.0,Low Agreement
GDN0005,Dummy,TiltUp,77,4.0,High Agreement
GDN0005,Dummy,TiltUp,79,0.0,High Agreement
GDN0005,Dummy,TiltUp,80,0.0,High Agreement
GDN0005,Dummy,TiltUp,81,4.0,High Agreement
GDN0005,Dummy,Valsalva,0,0.0,High Agreement
GDN0005,Dummy,Valsalva,1,38.0,Low Agreement
GDN0005,Dummy,Valsalva,2,2.0,High Agreement
GDN0005,Dummy,Valsalva,3,2.0,High Agreement
GDN0005,Dummy,Valsalva,4,28.0,Low Agreement
GDN0005,Dummy,Valsalva,5,2.0,High Agreement
GDN0005,Dummy,Valsalva,6,2.0,High Agreement
GDN0005,Dummy,Valsalva,7,0.0,High Agreement
GDN0005,Dummy,Valsalva,8,2.0,High Agreement
GDN0005,Dummy,Valsalva,9,40.0,Low Agreement
GDN0005,Dummy,Valsalva,10,46.0,Low Agreement
GDN0005,Dummy,Valsalva,11,36.0,Low Agreement
GDN0005,Dummy,Valsalva,12,2.0,High Agreement
GDN0005,Dummy,Valsalva,13,4.0,High Agreement
GDN0005,Dummy,Valsalva,14,4.0,High Agreement
GDN0005,Dummy,Valsalva,15,2.0,High Agreement
GDN0005,Dummy,Valsalva,16,4.0,High Agreement
GDN0005,Dummy,Valsalva,17,2.0,High Agreement
GDN0005,Dummy,Valsalva,18,2.0,High Agreement
GDN0005,Dummy,Valsalva,19,42.0,Low Agreement
GDN0005,Dummy,Valsalva,20,0.0,High Agreement
GDN0005,Dummy,Valsalva,21,2.0,High Agreement
GDN0005,Dummy,Valsalva,22,6.0,Medium Agreement
GDN0005,Dummy,Valsalva,23,2.0,High Agreement
GDN0005,Dummy,Valsalva,24,4.0,High Agreement
GDN0005,Dummy,Valsalva,25,48.0,Low Agreement
GDN0005,Dummy,Valsalva,26,0.0,High Agreement
GDN0005,Dummy,Valsalva,27,6.0,Medium Agreement
GDN0005,Dummy,Valsalva,28,0.0,High Agreement
GDN0005,Dummy,Valsalva,29,0.0,High Agreement
GDN0005,Dummy,Valsalva,30,2.0,High Agreement
GDN0005,Dummy,Valsalva,31,2.0,High Agreement
GDN0005,Dummy,Valsalva,32,26.0,Low Agreement
GDN0005,Dummy,Valsalva,33,0.0,High Agreement
GDN0005,Dummy,Valsalva,34,2.0,High Agreement
GDN0005,Dummy,Valsalva,35,2.0,High Agreement
GDN0005,Dummy,Valsalva,36,26.0,Low Agreement
GDN0005,Dummy,Valsalva,37,6.0,Medium Agreement
GDN0005,Dummy,Valsalva,38,4.0,High Agreement
GDN0005,Dummy,Valsalva,39,4.0,High Agreement
GDN0005,Dummy,Valsalva,40,4.0,High Agreement
GDN0005,Dummy,Valsalva,41,2.0,High Agreement
GDN0005,Dummy,Valsalva,42,4.0,High Agreement
GDN0005,Dummy,Valsalva,43,80.0,Low Agreement
GDN0005,Dummy,Valsalva,44,2.0,High Agreement
GDN0005,Dummy,Valsalva,45,2.0,High Agreement
GDN0005,Dummy,Valsalva,46,4.0,High Agreement
GDN0005,Dummy,Valsalva,47,4.0,High Agreement
GDN0005,Dummy,Valsalva,48,2.0,High Agreement
GDN0005,Dummy,Valsalva,49,2.0,High Agreement
GDN0005,Dummy,Valsalva,50,0.0,High Agreement
GDN0005,Dummy,Valsalva,51,36.0,Low Agreement
GDN0005,Dummy,Valsalva,52,2.0,High Agreement
GDN0005,Dummy,Valsalva,53,2.0,High Agreement
GDN0005,Dummy,Valsalva,54,4.0,High Agreement
GDN0005,Dummy,Valsalva,55,36.0,Low Agreement
GDN0005,Dummy,Valsalva,56,2.0,High Agreement
GDN0005,Dummy,Valsalva,57,42.0,Low Agreement
GDN0005,Dummy,Valsalva,58,0.0,High Agreement
GDN0005,Dummy,Valsalva,59,4.0,High Agreement
GDN0005,Dummy,Valsalva,60,6.0,Medium Agreement
GDN0005,Dummy,Valsalva,61,32.0,Low Agreement
GDN0005,Dummy,Valsalva,62,48.0,Low Agreement
GDN0006,Dummy,Pause,0,0.0,High Agreement
GDN0006,Dummy,Pause,1,2.0,High Agreement
GDN0006,Dummy,Pause,2,6.0,Medium Agreement
GDN0006,Dummy,Pause,3,2.0,High Agreement
GDN0006,Dummy,Pause,4,2.0,High Agreement
GDN0006,Dummy,Pause,6,8.0,Medium Agreement
GDN0006,Dummy,Pause,7,2.0,High Agreement
GDN0006,Dummy,Pause,8,2.0,High Agreement
GDN0006,Dummy,Pause,9,0.0,High Agreement
GDN0006,Dummy,Pause,10,0.0,High Agreement
GDN0006,Dummy,Pause,11,2.0,High Agreement
GDN0006,Dummy,Pause,12,0.0,High Agreement
GDN0006,Dummy,Pause,13,2.0,High Agreement
GDN0006,Dummy,Pause,14,0.0,High Agreement
GDN0006,Dummy,Pause,15,4.0,High Agreement
GDN0006,Dummy,Pause,16,4.0,High Agreement
GDN0006,Dummy,Pause,17,0.0,High Agreement
GDN0006,Dummy,Pause,18,2.0,High Agreement
GDN0006,Dummy,Pause,19,0.0,High Agreement
GDN0006,Dummy,Pause,20,32.0,Low Agreement
GDN0006,Dummy,Pause,21,0.0,High Agreement
GDN0006,Dummy,Pause,22,34.0,Low Agreement
GDN0006,Dummy,Pause,23,0.0,High Agreement
GDN0006,Dummy,Pause,24,0.0,High Agreement
GDN0006,Dummy,Pause,25,0.0,High Agreement
GDN0006,Dummy,Pause,26,2.0,High Agreement
GDN0006,Dummy,Pause,27,2.0,High Agreement
GDN0006,Dummy,Pause,28,26.0,Low Agreement
GDN0006,Dummy,Pause,29,0.0,High Agreement
GDN0006,Dummy,Pause,30,4.0,High Agreement
GDN0006,Dummy,Pause,31,6.0,Medium Agreement
GDN0006,Dummy,Pause,32,4.0,High Agreement
GDN0006,Dummy,Pause,33,2.0,High Agreement
GDN0006,Dummy,Pause,34,4.0,High Agreement
GDN0006,Dummy,Pause,35,4.0,High Agreement
GDN0006,Dummy,Pause,36,40.0,Low Agreement
GDN0006,Dummy,Pause,37,2.0,High Agreement
GDN0006,Dummy,Pause,38,2.0,High Agreement
GDN0006,Dummy,Pause,39,2.0,High Agreement
GDN0006,Dummy,Pause,40,4.0,High Agreement
GDN0006,Dummy,Pause,41,2.0,High Agreement
GDN0006,Dummy,Pause,42,2.0,High Agreement
GDN0006,Dummy,Pause,43,16.0,Low Agreement
GDN0006,Dummy,Pause,44,0.0,High Agreement
GDN0006,Dummy,Pause,45,2.0,High Agreement
GDN0006,Dummy,Pause,46,2.0,High Agreement
GDN0006,Dummy,Pause,47,0.0,High Agreement
GDN0006,Dummy,Pause,48,32.0,Low Agreement
GDN0006,Dummy,Pause,49,2.0,High Agreement
GDN0006,Dummy,Pause,50,0.0,High Agreement
GDN0006,Dummy,Pause,51,4.0,High Agreement
GDN0006,Dummy,Pause,52,0.0,High Agreement
GDN0006,Dummy,Pause,53,0.0,High Agreement
GDN0006,Dummy,Pause,54,4.0,High Agreement
GDN0006,Dummy,TiltLevel,0,4.0,High Agreement
GDN0006,Dummy,TiltLevel,1,0.0,High Agreement
GDN0006,Dummy,TiltLevel,2,2.0,High Agreement
GDN0006,Dummy,TiltLevel,3,0.0,High Agreement
GDN0006,Dummy,TiltLevel,4,4.0,High Agreement
GDN0006,Dummy,TiltLevel,5,2.0,High Agreement
GDN0006,Dummy,TiltLevel,6,0.0,High Agreement
GDN0006,Dummy,TiltLevel,7,0.0,High Agreement
GDN0006,Dummy,TiltLevel,8,2.0,High Agreement
GDN0006,Dummy,TiltLevel,9,2.0,High Agreement
GDN0006,Dummy,TiltLevel,10,2.0,High Agreement
GDN0006,Dummy,TiltLevel,11,8.0,Medium Agreement
GDN0006,Dummy,TiltLevel,12,0.0,High Agreement
GDN0006,Dummy,TiltLevel,13,10.0,Medium Agreement
GDN0006,Dummy,TiltLevel,14,10.0,Medium Agreement
GDN0006,Dummy,TiltLevel,15,4.0,High Agreement
GDN0006,Dummy,TiltLevel,16,0.0,High Agreement
GDN0006,Dummy,TiltLevel,17,8.0,Medium Agreement
GDN0006,Dummy,TiltLevel,18,0.0,High Agreement
GDN0006,Dummy,TiltLevel,19,4.0,High Agreement
GDN0006,Dummy,TiltLevel,20,4.0,High Agreement
GDN0006,Dummy,TiltLevel,21,4.0,High Agreement
GDN0006,Dummy,TiltLevel,22,4.0,High Agreement
GDN0006,Dummy,TiltLevel,23,24.0,Low Agreement
GDN0006,Dummy,TiltLevel,24,0.0,High Agreement
GDN0006,Dummy,TiltLevel,25,0.0,High Agreement
GDN0006,Dummy,TiltLevel,26,32.0,Low Agreement
GDN0006,Dummy,TiltLevel,27,0.0,High Agreement
GDN0006,Dummy,TiltLevel,28,2.0,High Agreement
GDN0006,Dummy,TiltLevel,29,2.0,High Agreement
GDN0006,Dummy,TiltLevel,30,6.0,Medium Agreement
GDN0006,Dummy,TiltLevel,31,6.0,Medium Agreement
GDN0006,Dummy,TiltLevel,32,4.0,High Agreement
GDN0006,Dummy,TiltLevel,33,2.0,High Agreement
GDN0006,Dummy,TiltLevel,34,12.0,Low Agreement
GDN0006,Dummy,TiltLevel,35,0.0,High Agreement
GDN0006,Dummy,TiltLevel,36,0.0,High Agreement
GDN0006,Dummy,TiltLevel,37,2.0,High Agreement
GDN0006,Dummy,TiltLevel,38,4.0,High Agreement
GDN0006,Dummy,TiltLevel,39,6.0,Medium Agreement
GDN0006,Dummy,TiltLevel,40,50.0,Low Agreement
GDN0006,Dummy,TiltLevel,41,0.0,High Agreement
GDN0006,Dummy,TiltLevel,42,4.0,High Agreement
GDN0006,Dummy,TiltLevel,43,40.0,Low Agreement
GDN0006,Dummy,TiltLevel,44,62.0,Low Agreement
GDN0006,Dummy,TiltLevel,45,4.0,High Agreement
GDN0006,Dummy,TiltLevel,46,38.0,Low Agreement
GDN0006,Dummy,TiltLevel,47,2.0,High Agreement
GDN0006,Dummy,TiltLevel,48,0.0,High Agreement
GDN0006,Dummy,TiltLevel,49,2.0,High Agreement
GDN0006,Dummy,TiltLevel,50,2.0,High Agreement
GDN0006,Dummy,TiltLevel,51,6.0,Medium Agreement
GDN0006,Dummy,TiltLevel,52,2.0,High Agreement
GDN0006,Dummy,TiltLevel,53,8.0,Medium Agreement
GDN0006,Dummy,TiltLevel,54,4.0,High Agreement
GDN0006,Dummy,TiltUp,0,0.0,High Agreement
GDN0006,Dummy,TiltUp,1,0.0,High Agreement
GDN0006,Dummy,TiltUp,2,2.0,High Agreement
GDN0006,Dummy,TiltUp,3,0.0,High Agreement
GDN0006,Dummy,TiltUp,4,0.0,High Agreement
GDN0006,Dummy,TiltUp,5,0.0,High Agreement
GDN0006,Dummy,TiltUp,6,2.0,High Agreement
GDN0006,Dummy,TiltUp,7,2.0,High Agreement
GDN0006,Dummy,TiltUp,8,2.0,High Agreement
GDN0006,Dummy,TiltUp,9,0.0,High Agreement
GDN0006,Dummy,TiltUp,10,2.0,High Agreement
GDN0006,Dummy,TiltUp,11,0.0,High Agreement
GDN0006,Dummy,TiltUp,12,2.0,High Agreement
GDN0006,Dummy,TiltUp,13,0.0,High Agreement
GDN0006,Dummy,TiltUp,14,2.0,High Agreement
GDN0006,Dummy,TiltUp,15,2.0,High Agreement
GDN0006,Dummy,TiltUp,16,6.0,Medium Agreement
GDN0006,Dummy,TiltUp,17,2.0,High Agreement
GDN0006,Dummy,TiltUp,18,0.0,High Agreement
GDN0006,Dummy,TiltUp,19,2.0,High Agreement
GDN0006,Dummy,TiltUp,20,2.0,High Agreement
GDN0006,Dummy,TiltUp,21,36.0,Low Agreement
GDN0006,Dummy,TiltUp,22,2.0,High Agreement
GDN0006,Dummy,TiltUp,23,0.0,High Agreement
GDN0006,Dummy,TiltUp,24,0.0,High Agreement
GDN0006,Dummy,TiltUp,25,0.0,High Agreement
GDN0006,Dummy,TiltUp,26,0.0,High Agreement
GDN0006,Dummy,TiltUp,27,2.0,High Agreement
GDN0006,Dummy,TiltUp,28,0.0,High Agreement
GDN0006,Dummy,TiltUp,29,2.0,High Agreement
GDN0006,Dummy,TiltUp,30,0.0,High Agreement
GDN0006,Dummy,TiltUp,31,2.0,High Agreement
GDN0006,Dummy,TiltUp,32,4.0,High Agreement
GDN0006,Dummy,TiltUp,33,2.0,High Agreement
GDN0006,Dummy,TiltUp,34,2.0,High Agreement
GDN0006,Dummy,TiltUp,35,2.0,High Agreement
GDN0006,Dummy,TiltUp,36,2.0,High Agreement
GDN0006,Dummy,TiltUp,37,2.0,High Agreement
GDN0006,Dummy,TiltUp,38,0.0,High Agreement
GDN0006,Dummy,TiltUp,39,0.0,High Agreement
GDN0006,Dummy,TiltUp,40,0.0,High Agreement
GDN0006,Dummy,TiltUp,41,0.0,High Agreement
GDN0006,Dummy,TiltUp,42,2.0,High Agreement
GDN0006,Dummy,TiltUp,43,0.0,High Agreement
